Theta_deg,Theta_rad,Gamma_mean,Gamma_std
299.0,5.218534463463046,0.9612199444444447,0.060196808188707374
300.0,5.235987755982989,0.9621691666666665,0.06004792703309767
301.0,5.253441048502932,0.9633617222222223,0.05984513127723513
302.0,5.270894341022875,0.9647936666666671,0.059600109562725545
303.0,5.288347633542818,0.9664575555555557,0.05932600022682787
304.0,5.305800926062762,0.9683408888888887,0.05903383759702651
305.0,5.323254218582705,0.9704275000000003,0.05873754806930951
306.0,5.340707511102648,0.9726966666666664,0.05844935714882681
307.0,5.358160803622591,0.9751244999999997,0.05818108288663175
308.0,5.375614096142535,0.9776869444444447,0.057941681591610505
309.0,5.3930673886624785,0.9803559444444441,0.057739594894253184
310.0,5.410520681182422,0.9831028888888895,0.05757837040348561
311.0,5.427973973702365,0.9859017222222219,0.057461371979893844
312.0,5.445427266222308,0.9887238888888886,0.05738828379642283
313.0,5.462880558742252,0.9915448888888886,0.05735760385984767
314.0,5.480333851262195,0.9943400000000007,0.057364934110966735
315.0,5.497787143782138,0.9970893888888896,0.057404586219839494
316.0,5.515240436302081,0.9997742777777768,0.057470930922902785
317.0,5.532693728822025,1.0023790555555558,0.057557404550174676
318.0,5.550147021341968,1.0048907777777774,0.057657149835669455
319.0,5.567600313861911,1.0073001666666666,0.05776502024461787
320.0,5.585053606381854,1.0096001666666656,0.057873590872934255
321.0,5.602506898901797,1.0117853333333338,0.05797975325155424
322.0,5.619960191421741,1.0138540000000003,0.058078901960082606
323.0,5.6374134839416845,1.0158041111111111,0.05816779067480263
324.0,5.654866776461628,1.017633944444444,0.05824263519008906
325.0,5.672320068981571,1.0193440555555557,0.058301961532631716
326.0,5.689773361501515,1.0209331666666666,0.058342611952300075
327.0,5.707226654021458,1.022399888888889,0.05836263620187233
328.0,5.724679946541401,1.0237430555555551,0.05835858997132604
329.0,5.742133239061344,1.0249579999999996,0.05832890750257926
330.0,5.759586531581287,1.0260401111111108,0.05826923893053014
331.0,5.777039824101231,1.0269832222222224,0.05817715444757749
332.0,5.794493116621174,1.0277807777777774,0.05805073829998064
333.0,5.811946409141117,1.0284242777777781,0.05788731421218828
334.0,5.82939970166106,1.0289039999999998,0.05768588290233774
335.0,5.846852994181004,1.0292115555555552,0.057446634567534086
336.0,5.8643062867009474,1.0293391666666667,0.05717092442720435
337.0,5.8817595792208905,1.029279277777778,0.05686278687459015
338.0,5.899212871740834,1.0290269444444444,0.05652808035832204
339.0,5.916666164260777,1.0285792222222219,0.05617511992229255
340.0,5.934119456780721,1.0279366666666665,0.055815344206489384
341.0,5.951572749300664,1.0271027777777784,0.055460510356023736
342.0,5.969026041820607,1.0260864444444442,0.05512576190072843
343.0,5.98647933434055,1.0249002222222219,0.05482611574540361
344.0,6.003932626860494,1.0235611111111114,0.05457753339046805
345.0,6.021385919380437,1.0220920555555555,0.05439566657267656
346.0,6.03883921190038,1.020518722222222,0.05429158007187317
347.0,6.056292504420323,1.0188725000000007,0.054275846099909965
348.0,6.073745796940266,1.017187222222222,0.05435429822578231
349.0,6.09119908946021,1.0155005555555565,0.05452689705011263
350.0,6.1086523819801535,1.013852277777778,0.054790736695079285
351.0,6.126105674500097,1.0122821666666673,0.0551349807016582
352.0,6.14355896702004,1.0108314444444446,0.05554596894187154
353.0,6.161012259539984,1.009539888888889,0.05600606791519102
354.0,6.178465552059927,1.0084453333333336,0.05649352078286893
355.0,6.19591884457987,1.007582555555556,0.05698606573464763
356.0,6.213372137099813,1.0069805000000003,0.05746067736843073
357.0,6.230825429619756,1.0066664999999997,0.05789575954991102
358.0,6.2482787221397,1.0066570000000004,0.05827107569035526
359.0,6.265732014659643,1.006967611111111,0.05856939690433611
